dr_no,date_occ,date_rptd,time_occ,area_name,latitude,longitude,rpt_dist_no,mocodes,vict_age,vict_sex,vict_descent,premis_cd,location,cross_street,TMAX,TMIN,PRCP
200508493,2020-04-20,2020-04-20,13:55,long_beach,33.746,-118.2879,0558,"{3037,3006,3025,3101}",36,Unknown,Hispanic,101,OFARRELL,PACIFIC,19.4,13.9,0
200508493,2020-04-20,2020-04-20,13:55,long_beach,33.746,-118.2879,0558,"{3037,3006,3025,3101}",,Unknown,Hispanic,101,OFARRELL,PACIFIC,19.4,13.9,0
200508537,2020-04-18,2020-04-18,13:00,long_beach,33.7905,-118.3043,0511,"{3037,3006,3028,3030,3101}",19,Unknown,Hispanic,101,257TH_ST,PRESIDENT,18.3,14.4,0
200508549,2020-04-20,2020-04-20,12:20,long_beach,33.7483,-118.2931,0555,"{2004,3037,3006,3028,3030,3101}",30,M,Hispanic,101,1ST,HANFORD,19.4,13.9,0
200508581,2020-04-21,2020-04-22,20:00,long_beach,33.7938,-118.2975,0513,"{4025,3037,3006,3028,3030,3101}",48,M,Hispanic,101,254TH_ST,NORMANDIE_AV,20.6,12.2,0
200508598,2020-04-23,2020-04-23,03:50,long_beach,33.786,-118.3043,0531,"{3036,3004,3026,3029,3101}",33,M,White,101,ANAHEIM_ST,PRESIDENT_AV,29.4,15,0
200508602,2020-04-22,2020-04-22,23:42,long_beach,33.7639,-118.2934,0521,"{3037,3011,3028,3030,3101}",19,M,Other,101,GAFFEY_ST,WESTMONT,26.7,12.8,0
200508603,2020-04-23,2020-04-23,02:20,long_beach,33.727,-118.2924,0585,"{3037,3006,3028,3030,3101}",19,M,Other,101,GAFFEY_ST,19TH_ST,29.4,15,0
200508606,2020-04-23,2020-04-23,08:30,long_beach,33.7905,-118.275,0514,"{4025,3036,3008,3025,3101}",51,M,Hispanic,101,WILMINGTON_BL,PACIFIC_COAST_HY,29.4,15,0
200508615,2020-04-23,2020-04-23,14:45,long_beach,33.7773,-118.2583,0529,"{3037,3006,3026,3029,3101}",19,Unknown,Hispanic,101,PACIFIC_COAST_HY,unknown,29.4,15,0
200508615,2020-04-23,2020-04-23,14:45,long_beach,33.7773,-118.2583,0529,"{3037,3006,3026,3029,3101}",19,Unknown,Hispanic,101,PACIFIC_COAST_HY,,29.4,15,0
200508628,2020-04-23,2020-04-23,13:00,long_beach,33.7905,-118.2811,0514,"{4025,3037,3004,3025,3101}",66,M,Hispanic,101,W_PACIFIC_COAST_HY,S_FIGUEROA_ST,29.4,15,0
200508657,2020-04-22,2020-04-24,19:15,long_beach,33.7911,-118.2652,0515,"{3602,4025,3036,3004,3024,3101}",29,M,Hispanic,101,W_PACIFIC_COAST_HY,MARINE_AV,26.7,12.8,0
200508660,2020-04-25,2020-04-25,01:20,long_beach,33.7895,-118.2777,0514,"{4025,3037,3006,3028,3030,3101}",36,M,Hispanic,101,MAURETANIA_ST,FRIGATE_AV,26.7,15,0
200508671,2020-04-24,2020-04-24,15:45,long_beach,33.7433,-118.2879,0564,"{3037,3006,3028,3101}",19,Unknown,Hispanic,101,1ST_ST,PACIFIC,33.9,16.1,0
200508686,2020-04-25,2020-04-25,14:45,long_beach,33.7215,-118.2929,0585,"{4025,3037,3011,3024,3034}",53,M,Hispanic,101,25TH_ST,GAFFEY_ST,26.7,15,0
200508691,2020-04-13,2020-04-24,11:20,long_beach,33.7895,-118.3012,0531,{},35,F,White,101,PACIFIC_COAST_HY,BELLE_PORTE,17.8,12.2,0
200508702,2020-04-24,2020-04-24,17:50,long_beach,33.7927,-118.2751,0514,"{3036,3004,3028,3030,3101}",60,F,Hispanic,101,WILMINGTON,SANDISON,33.9,16.1,0
200508703,2020-04-24,2020-04-24,14:30,long_beach,33.8315,-118.3038,0506,"{3037,3004,3026,3101}",27,F,Other Asian,101,DENKER,CARSON,33.9,16.1,0
200508704,2020-04-24,2020-04-24,20:20,long_beach,33.7795,-118.2715,0522,"{3037,3003,3025,3101}",51,M,Hispanic,101,ANAHEIM,MCDONALD,33.9,16.1,0
200508705,2020-04-23,2020-04-23,12:50,long_beach,33.7433,-118.2879,0564,"{3036,3004,3026,3101}",54,F,White,101,PACIFIC,1ST,29.4,15,0
200508706,2020-04-25,2020-04-25,09:00,long_beach,33.7895,-118.3076,0531,"{3037,3004,3026,3101}",66,F,White,101,PACIFIC_COAST_HY,unknown,26.7,15,0
200508706,2020-04-25,2020-04-25,09:00,long_beach,33.7895,-118.3076,0531,"{3037,3004,3026,3101}",66,F,White,101,PACIFIC_COAST_HY,,26.7,15,0
